"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",16200000,16200000,0,0
"Saturate","249471262",16200000,16200000,0,0
"TorinWoodle","276129715",16011000,14400000,-1611000,-10.1
"DarthLuk","151988573",15300000,17100000,1800000,11.8
"Julian","797155666",14400000,16200000,1800000,12.5
"PaRa","324572396",14400000,12600000,-1800000,-12.5
"Namuron","741729992",14376500,13500000,-876500,-6.1
"OttiJR","113611225",13800000,13620000,-180000,-1.3
"wega666","741954133",13800000,8280000,-5520000,-40
"Holly","374962465",13792500,9200000,-4592500,-33.3
"BΛ Anderle","595695953",13500000,13200000,-300000,-2.2
"BΛ Egge","325551912",13500000,12300000,-1200000,-8.9
"Davie2012","732448493",13500000,13050000,-450000,-3.3
"Lazarus","874269143",13388500,13500000,111500,0.8
"B0ba F3tt","877173821",12900000,12397500,-502500,-3.9
"DarthJedi117","915543352",12900000,11955000,-945000,-7.3
"CeeK4y","434842414",12900000,12600000,-300000,-2.3
"Gustl314","415291567",12600000,11535000,-1065000,-8.5
"Pepir","668878954",12600000,12600000,0,0
"Rooney","282684222",12600000,12600000,0,0
"Lasy","521595934",12300000,11700000,-600000,-4.9
"Lameth","924996826",12300000,11280000,-1020000,-8.3
"Nightfighter","721215257",12234000,12150000,-84000,-0.7
"Harry Soloo","578242431",12000000,11785000,-215000,-1.8
"ƑƎ Choparinį","716141195",11998000,13800000,1802000,15
"Ḅ","436378167",11947000,12000000,53000,0.4
"Sel Fie","611739423",11695000,10500000,-1195000,-10.2
"Mellman","647672384",11598500,9367500,-2231000,-19.2
"Tim","714876991",11473500,10837500,-636000,-5.5
"BΛDarth Olliwahn","888284628",11400000,11300000,-100000,-0.9
"Fuxxy","862196748",11319000,10200000,-1119000,-9.9
"BΛ Mara","996663718",11250000,10500000,-750000,-6.7
"DTDini","996625266",11100000,10500000,-600000,-5.4
"Bombe135","661367153",11047500,11250000,202500,1.8
"Ainz","671615837",10741500,10500000,-241500,-2.2
"DarthLL","737262568",10392000,5610000,-4782000,-46
"Spacekenny","758475213",10314000,10350000,36000,0.3
"Stevie194","252142152",10184000,8932500,-1251500,-12.3
"Sunve","681923264",9880000,10350000,470000,4.8
"BΛ Estios Belano","238696356",9006500,8542500,-464000,-5.2
"Prometheus","287417965",8808000,6682500,-2125500,-24.1
"Butterblume","966929178",8646500,12000000,3353500,38.8
"Murmeli","332212225",8366000,5675000,-2691000,-32.2
"RogueOne","256234237",8286000,7350000,-936000,-11.3
"Gaudiguy","231241421",7991000,6735000,-1256000,-15.7
"Okul Kelbo Shark","593496448",7968000,7612500,-355500,-4.5
"Black Bird","853184111",7931000,6097500,-1833500,-23.1
"Chilla","786318765",6900000,4282500,-2617500,-37.9
"Albipwnr","919866355",6508500,6517500,9000,0.1
"Vargur","653774334",6442000,5610000,-832000,-12.9
