"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",15300000,9900000,-5400000,-35.3
"TorinWoodle","276129715",15093000,12170000,-2923000,-19.4
"Saturate","249471262",14700000,14700000,0,0
"DarthLuk","151988573",14700000,14280000,-420000,-2.9
"OttiJR","113611225",13800000,3600000,-10200000,-73.9
"Julian","797155666",13800000,13800000,0,0
"wega666","741954133",13800000,7755000,-6045000,-43.8
"PaRa","324572396",13179500,12600000,-579500,-4.4
"Lazarus","874269143",13105000,13500000,395000,3
"Namuron","741729992",13075500,6300000,-6775500,-51.8
"DarthJedi117","915543352",12900000,10950000,-1950000,-15.1
"Pepir","668878954",12600000,12075000,-525000,-4.2
"Rooney","282684222",12600000,11700000,-900000,-7.1
"Lasy","521595934",12300000,11100000,-1200000,-9.8
"BΛ Anderle","595695953",12252000,12230000,-22000,-0.2
"Harry Soloo","578242431",12000000,11675000,-325000,-2.7
"Lameth","924996826",12000000,12000000,0,0
"Holly","374962465",11990500,10615000,-1375500,-11.5
"Gustl314","415291567",11700000,6932500,-4767500,-40.7
"Davie2012","732448493",11700000,10080000,-1620000,-13.8
"ƑƎ Choparinį","716141195",11681000,12000000,319000,2.7
"Mellman","647672384",11568000,6910000,-4658000,-40.3
"BΛDarth Olliwahn","888284628",11400000,9275000,-2125000,-18.6
"Fuxxy","862196748",11303000,10080000,-1223000,-10.8
"Tim","714876991",11100000,10732500,-367500,-3.3
"DTDini","996625266",10800000,10420000,-380000,-3.5
"Ainz","671615837",10740500,10500000,-240500,-2.2
"BΛ Egge","325551912",10706500,9150000,-1556500,-14.5
"Spacekenny","758475213",10200000,,,
"BΛ Mara","996663718",9965000,9000000,-965000,-9.7
"B0ba F3tt","877173821",9850500,8700000,-1150500,-11.7
"Stevie194","252142152",9762500,8482500,-1280000,-13.1
"CeeK4y","434842414",9298500,,,
"Sunve","681923264",8886000,7200000,-1686000,-19
"Ḅ","436378167",8700000,7980000,-720000,-8.3
"RogueOne","256234237",8279000,7200000,-1079000,-13
"Nightfighter","721215257",7776000,8700000,924000,11.9
"Bombe135","661367153",7728000,8100000,372000,4.8
"Prometheus","287417965",7445500,3495000,-3950500,-53.1
"Sel Fie","611739423",7350000,3540000,-3810000,-51.8
"Murmeli","332212225",7280500,5445000,-1835500,-25.2
"Gaudiguy","231241421",7143500,5850000,-1293500,-18.1
"DarthLL","737262568",7133000,6010000,-1123000,-15.7
"Okul Kelbo Shark","593496448",6873500,6600000,-273500,-4
"Butterblume","966929178",6757000,8737500,1980500,29.3
"BΛ Estios Belano","238696356",6600000,6167500,-432500,-6.6
"Albipwnr","919866355",5848000,5932500,84500,1.4
"Vargur","653774334",5685500,4747500,-938000,-16.5
"Black Bird","853184111",5090000,3345000,-1745000,-34.3
"Chilla","786318765",4728500,3405000,-1323500,-28
