"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",17100000,15240000,-1860000,-10.9
"Saturate","249471262",17100000,17100000,0,0
"DarthLuk","151988573",17100000,17100000,0,0
"TorinWoodle","276129715",16906500,17100000,193500,1.1
"Julian","797155666",16200000,16200000,0,0
"PaRa","324572396",16200000,12600000,-3600000,-22.2
"Namuron","741729992",16178500,13500000,-2678500,-16.6
"Lazarus","874269143",16113500,16200000,86500,0.5
"BΛ Anderle","595695953",15300000,16200000,900000,5.9
"Davie2012","732448493",15300000,14400000,-900000,-5.9
"ƑƎ Choparinį","716141195",15203000,15300000,97000,0.6
"CeeKΛy","434842414",14700000,14115000,-585000,-4
"B0ba F3tt","877173821",14700000,13200000,-1500000,-10.2
"Tim","714876991",14690500,14100000,-590500,-4
"OttiJR","113611225",14400000,14400000,0,0
"Pepir","668878954",14400000,13395000,-1005000,-7
"BΛDarth Olliwahn","888284628",14349500,8100000,-6249500,-43.6
"DarthJedi117","915543352",14040500,2250000,-11790500,-84
"Ainz","671615837",13800000,13800000,0,0
"Harry Soloo","578242431",13800000,12900000,-900000,-6.5
"Lasy","521595934",13800000,12300000,-1500000,-10.9
"wega666","741954133",13800000,8100000,-5700000,-41.3
"Lameth","924996826",13800000,13350000,-450000,-3.3
"Holly","374962465",13793500,13580000,-213500,-1.5
"BΛ Egge","325551912",13500000,12300000,-1200000,-8.9
"Rooney","282684222",13500000,13500000,0,0
"Spacekenny","758475213",13500000,13500000,0,0
"Bombe135","661367153",13495500,12270000,-1225500,-9.1
"Sel Fie","611739423",12900000,11400000,-1500000,-11.6
"Gustl314","415291567",12900000,11400000,-1500000,-11.6
"Sunve","681923264",12600000,12600000,0,0
"Stevie194","252142152",12584500,10350000,-2234500,-17.8
"Mellman","647672384",12450000,9780000,-2670000,-21.4
"Prometheus","287417965",12300000,7462500,-4837500,-39.3
"Nightfighter","721215257",12300000,12300000,0,0
"Ḅ","436378167",12247500,12300000,52500,0.4
"DTDini","996625266",11400000,11100000,-300000,-2.6
"Fuxxy","862196748",11333500,9900000,-1433500,-12.6
"BΛ Mara","996663718",11250000,10500000,-750000,-6.7
"Butterblume","966929178",11075000,13110000,2035000,18.4
"RogueOne","256234237",10565000,7950000,-2615000,-24.8
"BΛ Estios Belano","238696356",10500000,9750000,-750000,-7.1
"DarthLL","737262568",10458000,7505000,-2953000,-28.2
"Black Bird","853184111",10200000,7010000,-3190000,-31.3
"Murmeli","332212225",9750500,7630000,-2120500,-21.7
"Okul Kelbo Shark","593496448",8870500,7410000,-1460500,-16.5
"Albipwnr","919866355",8008500,7350000,-658500,-8.2
"Gaudiguy","231241421",7987000,7200000,-787000,-9.9
"Chilla","786318765",7950000,4330000,-3620000,-45.5
"Vargur","653774334",7450000,2400000,-5050000,-67.8
