"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Bombe135","661367153",4432000,4650000,218000,4.9
"Albipwnr","919866355",5041000,,,
"Julian","797155666",13800000,13800000,0,0
"Lameth","924996826",12000000,12000000,0,0
"BΛ Anderle","595695953",12252000,12220000,-32000,-0.3
"Ainz","671615837",10720000,10500000,-220000,-2.1
"PaRa","324572396",13178500,12600000,-578500,-4.4
"ƑƎ Choparinį","716141195",11662500,11100000,-562500,-4.8
"Lazarus","874269143",10263500,9750000,-513500,-5
"Pepir","668878954",12600000,11767500,-832500,-6.6
"Davie2012","732448493",10800000,9600000,-1200000,-11.1
"B0ba F3tt","877173821",7500000,6630000,-870000,-11.6
"Butterblume","966929178",6642000,5865000,-777000,-11.7
"Rooney","282684222",11378500,9450000,-1928500,-16.9
"Vargur","653774334",4881500,4050000,-831500,-17
"Holly","374962465",11967500,9795000,-2172500,-18.2
"BΛ Abdi","939411527",15300000,12480000,-2820000,-18.4
"DTDini","996625266",7500000,6022500,-1477500,-19.7
"BΛ Estios Belano","238696356",6567000,5220000,-1347000,-20.5
"Tim","714876991",10800000,8550000,-2250000,-20.8
"Sunve","681923264",8028000,6300000,-1728000,-21.5
"TorinWoodle","276129715",15057000,11400000,-3657000,-24.3
"Gaudiguy","231241421",5177500,3900000,-1277500,-24.7
"Nightfighter","721215257",6952500,4950000,-2002500,-28.8
"Stevie194","252142152",8869000,6300000,-2569000,-29
"wega666","741954133",11100000,7650000,-3450000,-31.1
"BΛ Mara","996663718",5883500,4005000,-1878500,-31.9
"Harry Soloo","578242431",9300000,6300000,-3000000,-32.3
"Chilla","786318765",4727500,3140000,-1587500,-33.6
"Sel Fie","611739423",5001500,3300000,-1701500,-34
"Murmeli","332212225",4951500,3197500,-1754000,-35.4
"Lasy","521595934",12300000,7500000,-4800000,-39
"Black Bird","853184111",5087000,2850000,-2237000,-44
"Mellman","647672384",7019000,3900000,-3119000,-44.4
"Aig","886235445",5629000,3090000,-2539000,-45.1
"Aga Knaack","911151268",5445500,2935000,-2510500,-46.1
"Ḅ","436378167",8688500,4505000,-4183500,-48.1
"BΛDarth Olliwahn","888284628",11100000,5400000,-5700000,-51.4
"DarthJedi117","915543352",12000000,5700000,-6300000,-52.5
"BΛ Egge","325551912",10706500,4800000,-5906500,-55.2
"Fuxxy","862196748",8123500,3600000,-4523500,-55.7
"Prometheus","287417965",6562500,2885000,-3677500,-56
"OttiJR","113611225",13800000,6000000,-7800000,-56.5
"RogueOne","256234237",8187500,2790000,-5397500,-65.9
"Melior i Lakin","415586159",12300000,3260000,-9040000,-73.5
"Saturate","249471262",14700000,3600000,-11100000,-75.5
"DarthLuk","151988573",14700000,1860000,-12840000,-87.3
"Gustl314","415291567",11400000,1350000,-10050000,-88.2
"BΛ Pelalo","558894939",5232500,510000,-4722500,-90.3
"Namuron","741729992",10362000,0,-10362000,-100
