"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Butterblume","966929178",5194500,8700000,3505500,67.5
"Bombe135","661367153",3603000,4650000,1047000,29.1
"ƑƎ Choparinį","716141195",9985500,12000000,2014500,20.2
"Ainz","671615837",8889500,10500000,1610500,18.1
"DTDini","996625266",6222500,7200000,977500,15.7
"PaRa","324572396",11296000,13050000,1754000,15.5
"BΛ Anderle","595695953",10584000,12190000,1606000,15.2
"Rooney","282684222",8244000,9480000,1236000,15
"Lazarus","874269143",8675000,9900000,1225000,14.1
"Lameth","924996826",10589000,12000000,1411000,13.3
"Pepir","668878954",10879500,12300000,1420500,13.1
"Holly","374962465",9512500,10575000,1062500,11.2
"Julian","797155666",12419500,13800000,1380500,11.1
"Saturate","249471262",13288000,14700000,1412000,10.6
"Harry Soloo","578242431",8127000,8560000,433000,5.3
"BΛ Abdi","939411527",13590000,14280000,690000,5.1
"Tim","714876991",10121000,10567500,446500,4.4
"Lasy","521595934",10589500,10950000,360500,3.4
"Davie2012","732448493",9530000,9697500,167500,1.8
"BΛ Egge","325551912",8978500,9130000,151500,1.7
"Albipwnr","919866355",4634000,,,
"Ḅ","436378167",8060500,7910000,-150500,-1.9
"TorinWoodle","276129715",12973000,12150000,-823000,-6.3
"Vargur","653774334",4541000,4200000,-341000,-7.5
"Namuron","741729992",8786500,7980000,-806500,-9.2
"Sunve","681923264",7344500,6495000,-849500,-11.6
"Gaudiguy","231241421",5473500,4700000,-773500,-14.1
"Nightfighter","721215257",5845500,4950000,-895500,-15.3
"Sel Fie","611739423",4276500,3600000,-676500,-15.8
"Fuxxy","862196748",7517500,6300000,-1217500,-16.2
"Mellman","647672384",6694500,5590000,-1104500,-16.5
"wega666","741954133",9959500,8055000,-1904500,-19.1
"B0ba F3tt","877173821",8627500,6802500,-1825000,-21.2
"BΛ Estios Belano","238696356",6300000,4957500,-1342500,-21.3
"Murmeli","332212225",4105000,3187500,-917500,-22.4
"BΛ Mara","996663718",5424000,4005000,-1419000,-26.2
"Stevie194","252142152",8935000,6300000,-2635000,-29.5
"Chilla","786318765",4611500,3180000,-1431500,-31
"Aga Knaack","911151268",4614500,3140000,-1474500,-32
"Aig","886235445",5302500,3525000,-1777500,-33.5
"RogueOne","256234237",7455000,4950000,-2505000,-33.6
"Black Bird","853184111",4793000,3172500,-1620500,-33.8
"Gustl314","415291567",9727000,6200000,-3527000,-36.3
"BΛDarth Olliwahn","888284628",9467000,5670000,-3797000,-40.1
"Melior i Lakin","415586159",10884500,6300000,-4584500,-42.1
"BΛ Pelalo","558894939",4655000,2255000,-2400000,-51.6
"Prometheus","287417965",6347500,3037500,-3310000,-52.1
"DarthJedi117","915543352",11794000,5205000,-6589000,-55.9
"OttiJR","113611225",12045500,3600000,-8445500,-70.1
"DarthLuk","151988573",12928500,3180000,-9748500,-75.4
