"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ AᎮƎMO","939411527",17100000,17100000,0,0
"Saturate","249471262",17100000,17100000,0,0
"DarthLuk","151988573",17100000,7200000,-9900000,-57.9
"Namuron","741729992",17075500,10800000,-6275500,-36.8
"TorinWoodle","276129715",16904000,14400000,-2504000,-14.8
"Julian","797155666",16200000,16200000,0,0
"PaRa","324572396",16200000,12600000,-3600000,-22.2
"Lazarus","874269143",16107000,16200000,93000,0.6
"BΛ Anderle","595695953",15300000,16200000,900000,5.9
"BΛDarth Olliwahn","888284628",15300000,9900000,-5400000,-35.3
"Davie2012","732448493",15300000,14040000,-1260000,-8.2
"ƑƎ Choparinį","716141195",15185000,11430000,-3755000,-24.7
"B0ba F3tt","877173821",14700000,13500000,-1200000,-8.2
"Tim","714876991",14700000,14100000,-600000,-4.1
"DarthJedi117","915543352",14700000,12300000,-2400000,-16.3
"CeeKΛy","434842414",14700000,14700000,0,0
"OttiJR","113611225",14400000,15300000,900000,6.3
"Pepir","668878954",14400000,13425000,-975000,-6.8
"Holly","374962465",14388500,14130000,-258500,-1.8
"Sel Fie","611739423",13800000,12900000,-900000,-6.5
"Ainz","671615837",13800000,13800000,0,0
"Harry Soloo","578242431",13800000,12900000,-900000,-6.5
"Lasy","521595934",13800000,12300000,-1500000,-10.9
"wega666","741954133",13800000,8550000,-5250000,-38
"Lameth","924996826",13800000,13800000,0,0
"Spacekenny","758475213",13500000,13500000,0,0
"BΛ Egge","325551912",13500000,0,-13500000,-100
"Rooney","282684222",13500000,13500000,0,0
"Bombe135","661367153",13500000,12600000,-900000,-6.7
"DarthLL","737262568",13324000,8775000,-4549000,-34.1
"Prometheus","287417965",12900000,7162500,-5737500,-44.5
"Gustl314","415291567",12900000,9000000,-3900000,-30.2
"BΛ Estios Belano","238696356",12900000,10650000,-2250000,-17.4
"Nightfighter","721215257",12900000,11310000,-1590000,-12.3
"Sunve","681923264",12600000,12600000,0,0
"Stevie194","252142152",12584000,10500000,-2084000,-16.6
"Mellman","647672384",12453000,11100000,-1353000,-10.9
"Ḅ","436378167",12249500,12300000,50500,0.4
"BΛ Mara","996663718",12000000,11265000,-735000,-6.1
"DTDini","996625266",11400000,11100000,-300000,-2.6
"Fuxxy","862196748",11334500,10140000,-1194500,-10.5
"Butterblume","966929178",11074000,13095000,2021000,18.2
"Okul Kelbo Shark","593496448",10693500,9540000,-1153500,-10.8
"RogueOne","256234237",10567500,6750000,-3817500,-36.1
"Black Bird","853184111",10500000,7690000,-2810000,-26.8
"Murmeli","332212225",10050500,8880000,-1170500,-11.6
"Gaudiguy","231241421",9905500,7800000,-2105500,-21.3
"Albipwnr","919866355",9000000,9000000,0,0
"Chilla","786318765",8700000,5630000,-3070000,-35.3
"Vargur","653774334",7450000,2400000,-5050000,-67.8
