"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Saturate","249471262",17100000,17100000,0,0
"DarthLuk","151988573",17100000,17100000,0,0
"BΛ Abdi","939411527",17096500,12600000,-4496500,-26.3
"TorinWoodle","276129715",16905500,14400000,-2505500,-14.8
"Julian","797155666",16200000,16200000,0,0
"PaRa","324572396",16200000,16200000,0,0
"Namuron","741729992",16178500,10800000,-5378500,-33.2
"Lazarus","874269143",16110000,16200000,90000,0.6
"BΛ Anderle","595695953",15300000,16200000,900000,5.9
"Davie2012","732448493",15300000,14400000,-900000,-5.9
"ƑƎ Choparinį","716141195",15201500,13800000,-1401500,-9.2
"B0ba F3tt","877173821",14700000,13800000,-900000,-6.1
"CeeK4y","434842414",14700000,14025000,-675000,-4.6
"Tim","714876991",14690500,13320000,-1370500,-9.3
"OttiJR","113611225",14400000,14400000,0,0
"Pepir","668878954",14400000,13665000,-735000,-5.1
"BΛDarth Olliwahn","888284628",14348000,12770000,-1578000,-11
"DarthJedi117","915543352",14040500,300000,-13740500,-97.9
"Harry Soloo","578242431",13800000,12145000,-1655000,-12
"Lasy","521595934",13800000,12900000,-900000,-6.5
"wega666","741954133",13800000,7790000,-6010000,-43.6
"Lameth","924996826",13800000,13395000,-405000,-2.9
"Holly","374962465",13793500,13800000,6500,0
"BΛ Egge","325551912",13500000,12300000,-1200000,-8.9
"Rooney","282684222",13500000,12900000,-600000,-4.4
"Gustl314","415291567",12900000,7220000,-5680000,-44
"Ainz","671615837",12900000,12000000,-900000,-7
"Spacekenny","758475213",12600000,11700000,-900000,-7.1
"Bombe135","661367153",12578500,12000000,-578500,-4.6
"Mellman","647672384",12401500,10800000,-1601500,-12.9
"Prometheus","287417965",12300000,5625000,-6675000,-54.3
"Nightfighter","721215257",12300000,12150000,-150000,-1.2
"Ḅ","436378167",12247500,12300000,52500,0.4
"Sel Fie","611739423",11695000,10650000,-1045000,-8.9
"Stevie194","252142152",11684000,9000000,-2684000,-23
"DTDini","996625266",11400000,11100000,-300000,-2.6
"Sunve","681923264",11380500,11700000,319500,2.8
"Fuxxy","862196748",11317500,11100000,-217500,-1.9
"BΛ Mara","996663718",11250000,9480000,-1770000,-15.7
"Butterblume","966929178",11076000,13815000,2739000,24.7
"DarthLL","737262568",10392000,7800000,-2592000,-24.9
"BΛ Estios Belano","238696356",9900000,9060000,-840000,-8.5
"Murmeli","332212225",9238000,6400000,-2838000,-30.7
"Black Bird","853184111",8850000,6750000,-2100000,-23.7
"RogueOne","256234237",8700000,7650000,-1050000,-12.1
"Albipwnr","919866355",8008000,5452500,-2555500,-31.9
"Gaudiguy","231241421",7990000,6900000,-1090000,-13.6
"Okul Kelbo Shark","593496448",7967500,7950000,-17500,-0.2
"Chilla","786318765",7950000,0,-7950000,-100
"Vargur","653774334",6747500,1200000,-5547500,-82.2
