"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",15300000,15300000,0,0
"TorinWoodle","276129715",15100000,13500000,-1600000,-10.6
"Saturate","249471262",14700000,15615000,915000,6.2
"Namuron","741729992",14361500,12480000,-1881500,-13.1
"OttiJR","113611225",13800000,13305000,-495000,-3.6
"PaRa","324572396",13800000,15420000,1620000,11.7
"wega666","741954133",13800000,8180000,-5620000,-40.7
"Julian","797155666",13800000,16200000,2400000,17.4
"Holly","374962465",13791500,13800000,8500,0.1
"BΛ Egge","325551912",13500000,12367500,-1132500,-8.4
"Davie2012","732448493",13500000,13050000,-450000,-3.3
"Lazarus","874269143",13109000,13500000,391000,3
"CeeK4y","434842414",12900000,12600000,-300000,-2.3
"B0ba F3tt","877173821",12900000,12427500,-472500,-3.7
"DarthJedi117","915543352",12900000,12150000,-750000,-5.8
"Rooney","282684222",12600000,12600000,0,0
"Gustl314","415291567",12600000,10605000,-1995000,-15.8
"BΛ Anderle","595695953",12600000,12160000,-440000,-3.5
"Pepir","668878954",12600000,12540000,-60000,-0.5
"DarthLuk","151988573",12300000,15300000,3000000,24.4
"Lasy","521595934",12300000,11700000,-600000,-4.9
"Lameth","924996826",12300000,12000000,-300000,-2.4
"Harry Soloo","578242431",12000000,11895000,-105000,-0.9
"Ḅ","436378167",11947000,11880000,-67000,-0.6
"ƑƎ Choparinį","716141195",11683500,12000000,316500,2.7
"Mellman","647672384",11578000,9000000,-2578000,-22.3
"BΛDarth Olliwahn","888284628",11400000,10370000,-1030000,-9
"Nightfighter","721215257",11327000,9450000,-1877000,-16.6
"Fuxxy","862196748",11320500,9180000,-2140500,-18.9
"Tim","714876991",11314000,10737500,-576500,-5.1
"DTDini","996625266",11100000,10665000,-435000,-3.9
"Bombe135","661367153",11048000,11250000,202000,1.8
"BΛ Mara","996663718",10950000,10500000,-450000,-4.1
"Sel Fie","611739423",10795000,10500000,-295000,-2.7
"Ainz","671615837",10741000,10500000,-241000,-2.2
"DarthLL","737262568",10392500,6190000,-4202500,-40.4
"Spacekenny","758475213",10314000,10350000,36000,0.3
"Stevie194","252142152",10184000,8850000,-1334000,-13.1
"Sunve","681923264",9879500,9900000,20500,0.2
"Prometheus","287417965",8806500,6285000,-2521500,-28.6
"Butterblume","966929178",8646500,11945000,3298500,38.1
"RogueOne","256234237",8284000,7050000,-1234000,-14.9
"Gaudiguy","231241421",7986000,6270000,-1716000,-21.5
"Okul Kelbo Shark","593496448",7771000,7410000,-361000,-4.6
"BΛ Estios Belano","238696356",7500000,7252500,-247500,-3.3
"Murmeli","332212225",7466000,5780000,-1686000,-22.6
"Black Bird","853184111",7031000,3600000,-3431000,-48.8
"Albipwnr","919866355",6508000,6532500,24500,0.4
"Vargur","653774334",6270500,5270000,-1000500,-16
"Chilla","786318765",5400000,3705000,-1695000,-31.4
