"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"DarthLuk","151988573",17100000,17100000,0,0
"Saturate","249471262",17100000,17100000,0,0
"BΛ Abdi","939411527",17100000,15180000,-1920000,-11.2
"TorinWoodle","276129715",16904000,14400000,-2504000,-14.8
"PaRa","324572396",16200000,3600000,-12600000,-77.8
"Julian","797155666",16200000,16200000,0,0
"Namuron","741729992",16178500,10800000,-5378500,-33.2
"Lazarus","874269143",16110500,16200000,89500,0.6
"BΛ Anderle","595695953",15300000,16200000,900000,5.9
"Davie2012","732448493",15300000,13380000,-1920000,-12.5
"ƑƎ Choparinį","716141195",15167000,15300000,133000,0.9
"CeeKΛy","434842414",14700000,14700000,0,0
"Tim","714876991",14700000,14030000,-670000,-4.6
"B0ba F3tt","877173821",14700000,13200000,-1500000,-10.2
"OttiJR","113611225",14400000,14400000,0,0
"Pepir","668878954",14400000,13485000,-915000,-6.4
"BΛDarth Olliwahn","888284628",14400000,9000000,-5400000,-37.5
"Holly","374962465",14392500,14400000,7500,0.1
"DarthJedi117","915543352",14043500,12210000,-1833500,-13.1
"Lasy","521595934",13800000,9900000,-3900000,-28.3
"Harry Soloo","578242431",13800000,12800000,-1000000,-7.2
"Ainz","671615837",13800000,13800000,0,0
"wega666","741954133",13800000,7910000,-5890000,-42.7
"Lameth","924996826",13800000,11302500,-2497500,-18.1
"Rooney","282684222",13500000,13500000,0,0
"BΛ Egge","325551912",13500000,12300000,-1200000,-8.9
"Spacekenny","758475213",13500000,13500000,0,0
"Bombe135","661367153",13495000,12600000,-895000,-6.6
"BΛ Estios Belano","238696356",12900000,9850000,-3050000,-23.6
"Gustl314","415291567",12900000,8930000,-3970000,-30.8
"Sel Fie","611739423",12900000,12000000,-900000,-7
"Sunve","681923264",12600000,11700000,-900000,-7.1
"Stevie194","252142152",12584000,10500000,-2084000,-16.6
"Mellman","647672384",12416500,10800000,-1616500,-13
"Prometheus","287417965",12300000,7202500,-5097500,-41.4
"Nightfighter","721215257",12300000,12300000,0,0
"Ḅ","436378167",12248500,12300000,51500,0.4
"DTDini","996625266",11400000,11100000,-300000,-2.6
"Fuxxy","862196748",11332500,7200000,-4132500,-36.5
"BΛ Mara","996663718",11250000,9780000,-1470000,-13.1
"Butterblume","966929178",11044000,13110000,2066000,18.7
"RogueOne","256234237",10564000,8550000,-2014000,-19.1
"Black Bird","853184111",10500000,7350000,-3150000,-30
"DarthLL","737262568",10457500,7895000,-2562500,-24.5
"Murmeli","332212225",10051500,8860000,-1191500,-11.9
"Okul Kelbo Shark","593496448",9770000,10650000,880000,9
"Gaudiguy","231241421",9001000,7800000,-1201000,-13.3
"Albipwnr","919866355",9000000,8260000,-740000,-8.2
"Chilla","786318765",8700000,4780000,-3920000,-45.1
"Vargur","653774334",7450000,6750000,-700000,-9.4
