"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",15300000,15300000,0,0
"TorinWoodle","276129715",15095500,12390000,-2705500,-17.9
"Saturate","249471262",14700000,14700000,0,0
"DarthLuk","151988573",14700000,14400000,-300000,-2
"Namuron","741729992",13973500,13950000,-23500,-0.2
"OttiJR","113611225",13800000,6750000,-7050000,-51.1
"Julian","797155666",13800000,13800000,0,0
"wega666","741954133",13800000,7755000,-6045000,-43.8
"PaRa","324572396",13800000,12600000,-1200000,-8.7
"Holly","374962465",13791000,13800000,9000,0.1
"Davie2012","732448493",13500000,13050000,-450000,-3.3
"Lazarus","874269143",13107000,13500000,393000,3
"B0ba F3tt","877173821",12900000,8182500,-4717500,-36.6
"DarthJedi117","915543352",12900000,10905000,-1995000,-15.5
"BΛ Anderle","595695953",12600000,12210000,-390000,-3.1
"Pepir","668878954",12600000,12345000,-255000,-2
"Rooney","282684222",12600000,12600000,0,0
"CeeK4y","434842414",12593500,12600000,6500,0.1
"Lasy","521595934",12300000,11400000,-900000,-7.3
"Harry Soloo","578242431",12000000,9900000,-2100000,-17.5
"Lameth","924996826",12000000,12000000,0,0
"Ḅ","436378167",11947500,11515000,-432500,-3.6
"Gustl314","415291567",11700000,6665000,-5035000,-43
"ƑƎ Choparinį","716141195",11681500,12000000,318500,2.7
"Mellman","647672384",11579000,7867500,-3711500,-32.1
"BΛDarth Olliwahn","888284628",11400000,9525000,-1875000,-16.4
"Tim","714876991",11314500,10772500,-542000,-4.8
"Fuxxy","862196748",11200500,10140000,-1060500,-9.5
"BΛ Mara","996663718",10867000,10500000,-367000,-3.4
"DTDini","996625266",10800000,10500000,-300000,-2.8
"Sel Fie","611739423",10795000,10500000,-295000,-2.7
"Ainz","671615837",10741000,10500000,-241000,-2.2
"BΛ Egge","325551912",10704500,8700000,-2004500,-18.7
"DarthLL","737262568",10391500,5187500,-5204000,-50.1
"Spacekenny","758475213",10200000,10350000,150000,1.5
"Sunve","681923264",9879500,10350000,470500,4.8
"Nightfighter","721215257",9821000,8655000,-1166000,-11.9
"Stevie194","252142152",9762000,8887500,-874500,-9
"Butterblume","966929178",8647000,12000000,3353000,38.8
"Prometheus","287417965",8624500,4830000,-3794500,-44
"RogueOne","256234237",8277500,7200000,-1077500,-13
"Bombe135","661367153",7729500,8100000,370500,4.8
"BΛ Estios Belano","238696356",7500000,7357500,-142500,-1.9
"Gaudiguy","231241421",7426000,6210000,-1216000,-16.4
"Murmeli","332212225",7282500,5335000,-1947500,-26.7
"Black Bird","853184111",7030500,3600000,-3430500,-48.8
"Okul Kelbo Shark","593496448",6864000,6585000,-279000,-4.1
"Albipwnr","919866355",6420500,6457500,37000,0.6
"Vargur","653774334",5838500,4990000,-848500,-14.5
"Chilla","786318765",5099500,3820000,-1279500,-25.1
