"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",15300000,9900000,-5400000,-35.3
"TorinWoodle","276129715",15088000,12300000,-2788000,-18.5
"DarthLuk","151988573",14700000,14400000,-300000,-2
"Saturate","249471262",14700000,14700000,0,0
"OttiJR","113611225",13800000,3600000,-10200000,-73.9
"wega666","741954133",13800000,8180000,-5620000,-40.7
"Julian","797155666",13800000,13800000,0,0
"PaRa","324572396",13179000,12600000,-579000,-4.4
"Lazarus","874269143",13101000,13500000,399000,3
"DarthJedi117","915543352",12900000,5850000,-7050000,-54.7
"Rooney","282684222",12600000,12300000,-300000,-2.4
"Pepir","668878954",12600000,12150000,-450000,-3.6
"Lasy","521595934",12300000,10350000,-1950000,-15.9
"BΛ Anderle","595695953",12252000,12300000,48000,0.4
"Harry Soloo","578242431",12000000,10755000,-1245000,-10.4
"Lameth","924996826",12000000,12000000,0,0
"Holly","374962465",11989000,9980000,-2009000,-16.8
"Gustl314","415291567",11700000,7260000,-4440000,-37.9
"ƑƎ Choparinį","716141195",11679500,12000000,320500,2.7
"BΛDarth Olliwahn","888284628",11400000,7200000,-4200000,-36.8
"Namuron","741729992",11280500,0,-11280500,-100
"Tim","714876991",11100000,10680000,-420000,-3.8
"Davie2012","732448493",11100000,9800000,-1300000,-11.7
"DTDini","996625266",10800000,10500000,-300000,-2.8
"Ainz","671615837",10740000,10500000,-240000,-2.2
"BΛ Egge","325551912",10706000,8850000,-1856000,-17.3
"B0ba F3tt","877173821",9850500,9540000,-310500,-3.2
"Stevie194","252142152",9749500,5760000,-3989500,-40.9
"CeeK4y","434842414",9298500,,,
"Ḅ","436378167",8698500,8625000,-73500,-0.8
"Mellman","647672384",8352500,7635000,-717500,-8.6
"RogueOne","256234237",8199500,6750000,-1449500,-17.7
"Sunve","681923264",8197500,8550000,352500,4.3
"Fuxxy","862196748",8133500,7200000,-933500,-11.5
"Nightfighter","721215257",7775000,4500000,-3275000,-42.1
"Bombe135","661367153",7728000,7800000,72000,0.9
"Prometheus","287417965",7445000,2487500,-4957500,-66.6
"Sel Fie","611739423",7349500,4050000,-3299500,-44.9
"DarthLL","737262568",7132500,6075000,-1057500,-14.8
"Gaudiguy","231241421",6967500,4800000,-2167500,-31.1
"BΛ Mara","996663718",6783500,2880000,-3903500,-57.5
"Butterblume","966929178",6758000,8737500,1979500,29.3
"Murmeli","332212225",6742500,4140000,-2602500,-38.6
"Okul Kelbo Shark","593496448",6703000,6600000,-103000,-1.5
"BΛ Estios Belano","238696356",6567500,5372500,-1195000,-18.2
"Albipwnr","919866355",5847000,5850000,3000,0.1
"Aig","886235445",5633500,3697500,-1936000,-34.4
"Vargur","653774334",5125000,4540000,-585000,-11.4
"Black Bird","853184111",5089500,3300000,-1789500,-35.2
"Chilla","786318765",4727500,2660000,-2067500,-43.7
